"* Required Fields","* pakollinen"
"Promotions/Discounts","Kampanjat ja alennukset"
"Other information","Muuta tietoa"
"Yes, all pages","Kyllä, kaikki sivut"
"Yes, only blog page","Kyllä, vain blogisivu"
"No Posts in this Category.","Tässä blogiluokassa ei ole viestejä."
"Add Post","Lisää viesti"
"Posts","Viestit"
"Category Manager","Blogin luokat"
"Add Category","Lisää luokka"
"Save And Continue Edit","Tallenna ja jatka muokkausta"
"Category Information","Luokan tiedot"
"Comment was succesfully saved","Kommentti on tallennettu"
"Blog Comment Manager","Blogin kommentit"
"Created","Lisätty"
"Poster","Lähettäjä"
"Post Title","Viestin otsikko"
"Link to Post","Linkki viestiin"
"Approved","Hyväksytty"
"Unapproved","Hyväksymätön"
"Approve","Hyväksy"
"Unapprove","Poista näkyvistä"
"Comment Information","Kommentin tiedot"
"Save Comment","Tallenna kommentti"
"Delete Comment","Poista kommentti"
"Blog Post Manager","Blogiviestit"
"Add Post","Lisää viesti"
"Created at","Missä lisätty"
"Updated at","Päivitetty"
"Post Information","Viestin tiedot"
"Advanced Options","Lisäasetukset"
"Enable Comments","Ota käyttöön kommentit"
"Short Content","Lyhyt kuvaus"
"Use space or comma as separators","Käytä välilyöntiä tai pilkkua erottajina"
"Hidden pages won't be shown in blog but still can be accessed directly","Piilotetut sivut eivät näy blogissa, mutta niihin voidaan siirtyä kuitenkin suoraan osoitteen avulla"
"Disabling will close the post to new comments","Pois kytkeminen sulkee viestin uusilta kommenteilta"
"Advanced Post Options","Viestin lisäasetukset"
"(Leave blank to use current user name)","(Tyhjänä käytetään käyttäjätunnusta)"
"Delete Post","Poista viesti"
"Duplicate Post","Monista viesti"
"Save Post","Tallenna viesti"
"Post was successfully deleted","Viesti on poistettu"
"Hidden","Piilotettu"
"Post was successfully saved","Viesti on tallennettu"
"Read More","Lue lisää"
"Edit Post '%s'","Viestin '%s' muokkaaminen"
"Edit Category  '%s'","Luokan '%s' muokkaaminen"
"Comments","Kommentit"
"Posted in","Luokka"
"By","Kirjoittanut"
"Your comment has been submitted and is awaiting approval.","Kommentti on lähetetty tarkastettavaksi."
"posted on","lähetetty"
"Recent Posts","Viimeisimmät kirjoitukset"
"Post information","Viestin tiedot"
"Bookmark with:","Bookmark with:"
"Comments","Kommentit"
"Edit Comment By '%s'","Asiakkaan '%s' kommentin muokkaaminen"
"Comment","Kommentti"
"Comment was approved","Kommentti on julkaistu"
"Comment was unapproved","Kommentti on poistettu näkyvistä"
"Submit Comment","Lisää kommentti"
"Comment Submitted","Kommentti on lähetetty"
"Comment was successfully deleted","Kommentti on poistettu"
